ID_TEXT,ID_TEXT,CIUDAD,TIPO,UNIVERSIDAD_EVALUADA_NACIONAL,PRESTIGIO DE LA INSTITUCIÓN,NIVEL ACADÉMICO,OFERTA ACADÉMICA (CARRERAS OFERTADAS),PROFESORES,PROGRAMAS DE BECAS,COSTO DE COLEGIATURA Y OPCIONES DE PAGO,"INSTALACIONES, AULAS Y LABORATORIOS",PLAN DE ESTUDIOS,AMBIENTE ESTUDIANTIL,ACREDITACIONES Y CERTIFICACIONES,UBICACIÓN DEL CAMPUS,MODALIDADES HÍBRIDAS (PRESENCIAL Y ONLINE),MODALIDADES ONLINE,VALORES INSTITUCIONALES
Entrevistado_1,Entrevistado_1,AGUASCALIENTES,Primera mención,UVM,10.0,8.0,2.0,6.0,1.0,5.8,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_2,Entrevistado_2,MORELIA,Primera mención,OTRAS1,7.0,8.0,8.0,8.0,6.4,4.0,5.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_3,Entrevistado_3,MONTERREY,Primera mención,ITESM,10.0,5.0,5.0,8.0,8.0,10.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_4,Entrevistado_4,GUADALAJARA,Primera mención,OTRAS1,8.0,6.0,6.0,9.0,6.4,4.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_5,Entrevistado_5,CANCÚN,Primera mención,UNID,9.0,9.0,7.8,4.0,1.0,5.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_6,Entrevistado_6,TEPIC,Primera mención,OTRAS1,8.0,5.0,8.0,8.0,7.0,5.8,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_7,Entrevistado_7,GUADALAJARA,Primera mención,UAG,8.4,9.0,2.0,7.0,10.0,4.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_8,Entrevistado_8,TEPIC,Primera mención,OTRAS1,9.0,10.0,6.0,7.0,6.4,5.8,6.4,6.5,7.7,7.0,7.5,7.3,7.3,6.9
Entrevistado_9,Entrevistado_9,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,8.0,8.0,4.0,8.0,10.0,5.8,9.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_10,Entrevistado_10,AGUASCALIENTES,Primera mención,ITESM,10.0,7.0,9.0,10.0,6.4,5.8,10.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_11,Entrevistado_11,GUADALAJARA,Primera mención,UAG,10.0,8.0,1.0,8.0,10.0,5.8,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_12,Entrevistado_12,TUXTLA GUTIÉRREZ,Primera mención,OTRAS1,8.4,8.0,7.8,8.0,6.4,10.0,6.4,6.5,10.0,2.0,5.0,7.3,7.3,6.9
Entrevistado_13,Entrevistado_13,GUADALAJARA,Primera mención,ITESO,9.0,8.0,7.8,10.0,6.4,2.0,6.4,6.5,7.7,6.4,7.5,10.0,8.0,6.9
Entrevistado_14,Entrevistado_14,HERMOSILLO,Primera mención,UVM,6.0,8.0,4.0,8.0,10.0,10.0,6.4,6.5,10.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_15,Entrevistado_15,CULIACÁN,Primera mención,TECMILENIO,8.4,5.0,7.8,7.0,6.4,5.0,6.4,10.0,8.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_16,Entrevistado_16,MEXICALI,Primera mención,UAD,5.0,8.0,6.0,10.0,10.0,5.8,6.4,7.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_17,Entrevistado_17,TIJUANA,Primera mención,OTRAS1,8.4,9.0,7.8,10.0,2.0,5.8,6.4,8.0,7.7,6.4,7.5,5.0,7.3,6.9
Entrevistado_18,Entrevistado_18,TEPIC,Primera mención,OTRAS1,8.4,8.0,6.0,2.0,6.4,9.0,6.4,6.5,7.7,8.0,7.5,9.0,7.3,6.9
Entrevistado_19,Entrevistado_19,GUADALAJARA,Primera mención,ITESO,9.0,9.0,10.0,8.0,10.0,5.8,10.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
